alt_ft,kcas,config,ai,sd_gain,sd_tau,leak_scale,shed_scale,converged,trim_residual,trim_alpha_deg,trim_throttle,trim_alt_ft,trim_vcas_kts,Su_1_s,zeta_su_pred,omega_n_su,worst_Re_1s,worst_slow_Re_1s,slow_osc_Re,slow_osc_Im,slow_osc_zeta,slow_osc_T_s,slow_osc_participants
15000,160,clean,1,0,60,1,1,0,4399.1,8.72674,0.15,14983.4,161.698,-0.0175388,0.0658604,0.133151,105.135,0.0101323,-0.85502,-0.330693,0.932672,19.0001,"ai_vsTgt:79/ai_altI:17"
15000,200,clean,1,0,60,1,1,0,14272.7,6.95486,0.218747,15241.6,201.149,-0.0166024,0.0776955,0.106843,231.957,0.0838922,-1.80002,0.578201,0.952086,10.8668,"ai_vsTgt:70/ai_altI:22"
15000,250,clean,1,0,60,1,1,1,237.84,4.35373,0.128275,14996.9,253.444,-0.015497,0.0905891,0.0855344,2.46431,0.00151465,-0.0157545,0.17621,0.0890522,35.6574,"ai_altI:72/ai_vsTgt:14"
15000,300,clean,1,0,60,1,1,0,276.098,3.07131,0.573002,15004.1,305.64,-0.00343475,0.0241003,0.0712594,702.899,0.0240723,0,0,0,0,""
15000,350,clean,1,0,60,1,1,0,2275.44,2.35819,0.345836,14972.7,356.981,-0.0147304,0.119874,0.0614408,58.148,0.398397,-1.21836,-0.130508,0.994312,48.144,"ai_vsTgt:72/ai_altI:28"
15000,450,clean,1,0,60,1,1,0,877.014,1.51787,0.518676,14985.1,467.058,-0.137231,1.44132,0.0476059,0.759986,0.759986,0,0,0,0,""
15000,160,gear,1,0,60,1,1,0,369.816,11.927,0.347133,14998.5,160.751,-0.0428521,0.16012,0.133813,0.0341442,0.0341442,0,0,0,0,""
15000,200,gear,1,0,60,1,1,0,428.527,8.09937,0.255018,14995.5,201.099,-0.0367916,0.17144,0.107302,3.53607,0.072057,0,0,0,0,""
15000,250,gear,1,0,60,1,1,0,113.931,5.52736,0.545154,14994.7,255.352,-0.0347965,0.20497,0.0848821,0.00575048,0.00575048,-0.0849786,0.114739,0.595166,54.7605,"ai_vsTgt:69/ai_altI:16/z_ft:14"
15000,300,gear,1,0,60,1,1,0,508.218,4.26452,0.586519,14992.4,305.973,-0.02756,0.193482,0.0712211,4.51601,0.00369412,0,0,0,0,""
15000,350,gear,1,0,60,1,1,0,2463.65,3.48506,0.731969,15020.4,358.693,-0.0324654,0.265703,0.0610934,511.146,0.954961,0,0,0,0,""
15000,450,gear,1,0,60,1,1,0,8016.19,2.50065,1.27838,14792.2,478.143,-0.17697,1.89699,0.0466451,205.529,0.00138405,-0.121493,-0.0951639,0.787245,66.0248,"ai_vsTgt:82"
15000,160,gearflaps,1,0,60,1,1,0,4630.81,10.7895,0.370588,15102.5,165.639,-0.0404669,0.156047,0.129662,120.671,0.358543,0.358543,0.173667,-0.899983,36.1794,"ai_altI:62/ai_vsTgt:38"
15000,200,gearflaps,1,0,60,1,1,1,267.208,7.69123,0.280907,14997.9,201.735,-0.0375784,0.175676,0.106953,3.79245,0.0947027,-0.671957,0.704439,0.690227,8.91941,"ai_vsTgt:53/ai_altI:37"
15000,250,gearflaps,1,0,60,1,1,0,177.012,5.28334,0.563815,15000.3,254.749,-0.03537,0.207868,0.0850781,31.2901,0.072354,-0.932066,-0.423817,0.910311,14.8252,"ai_vsTgt:85"
15000,300,gearflaps,1,0,60,1,1,0,160.635,4.08471,0.628596,14995,305.196,-0.0286,0.200291,0.0713963,11.4655,0.0561261,0,0,0,0,""
15000,350,gearflaps,1,0,60,1,1,0,5962.65,3.30973,1.08051,14887.9,361.877,-0.0251279,0.206998,0.060696,1099.08,0.00241803,-2.79337,0.961954,0.945506,6.53169,"ai_vsTgt:52/ai_altI:47"
15000,450,gearflaps,1,0,60,1,1,0,2184.53,2.46708,1.31923,14824.1,464.338,-0.0297114,0.309762,0.0479585,0.125002,0.125002,0,0,0,0,""
