alt_ft,kcas,config,ai,converged,trim_residual,trim_alpha_deg,trim_throttle,trim_alt_ft,trim_vcas_kts,Su_1_s,zeta_su_pred,omega_n_su,worst_Re_1s,slow_osc_Re,slow_osc_Im,slow_osc_zeta,slow_osc_T_s,slow_osc_participants
15000,160,clean,0,0,100.304,4.68894,0.149,15104.7,243.817,-0.0143037,0.0806659,0.08866,0.0106723,-0.924533,-0.551438,0.858835,11.3942,"vt:21/f_alphaLag_y2:19/f_alphaLag_y1:19"
15000,200,clean,0,0,18.3485,5.00511,0.217747,15199.2,235.629,-0.0128838,0.0703716,0.0915414,0.00802259,0.00434072,0.0162881,-0.257508,385.752,"vt:99"
15000,250,clean,0,0,3.4402,4.45824,0.288575,15590.2,250.026,-0.0138707,0.0807603,0.0858756,0.0210623,-0.939764,0.564461,0.85725,11.1313,"vt:21/f_alphaLag_y2:19/f_alphaLag_y1:19"
15000,300,clean,0,0,45.8253,3.17842,0.572002,15938.6,299.261,-0.00247489,0.0172436,0.0717626,0.109345,0,0,0,0,""
15000,350,clean,0,0,70.116,2.38554,0.644836,15917.7,351.521,-0.00526365,0.0427884,0.061508,0.0891231,0,0,0,0,""
15000,450,clean,0,0,29.0048,1.51511,0.634812,15543,464.278,-0.133149,1.40094,0.0475213,0.00684938,0,0,0,0,""
15000,160,gear,0,0,6.01855,15.3257,0.346133,14902.4,140.122,-0.0541488,0.176357,0.153521,0.0255486,-0.00694694,0.0495032,0.138971,126.925,"vt:99"
15000,200,gear,0,0,35.6474,8.08291,0.554018,15423.1,200.937,-0.0340884,0.159819,0.106647,0.0167557,0,0,0,0,""
15000,250,gear,0,0,0.0258803,5.64813,0.544154,15364.6,251.261,-0.0347531,0.202626,0.0857568,0.00926337,-0.00118357,-0.0121161,0.0972233,518.583,"vt:99"
15000,300,gear,0,0,11.7435,4.32478,0.885519,16236.1,299.362,-0.0169769,0.118852,0.0714202,0.134799,0,0,0,0,""
15000,350,gear,0,0,19.3902,3.49312,1.03097,16458.7,350.322,-0.0210139,0.171595,0.061231,0.131574,0,0,0,0,""
15000,450,gear,0,0,121.18,2.49428,1.27738,16147.4,459.641,-0.16319,1.71435,0.0475954,0.274264,0,0,0,0,""
15000,160,gearflaps,0,0,26.4754,11.1225,0.369588,14854,162.965,-0.0418299,0.158088,0.132299,0.0151418,0,0,0,0,""
15000,200,gearflaps,0,0,10.8352,7.72665,0.430787,15196.4,201.165,-0.0361732,0.169191,0.106901,0.0130567,0,0,0,0,""
15000,250,gearflaps,0,0,62.3023,5.25231,0.562815,14796.8,255.59,-0.0347382,0.204165,0.0850737,0.00378142,-1.01966,-0.164446,0.987243,38.2081,"f_alphaLag_y2:26/f_alphaLag_y1:26"
15000,300,gearflaps,0,0,5.72866,4.13634,0.927596,16265.1,299.215,-0.0180081,0.126066,0.0714234,0.144686,0,0,0,0,""
15000,350,gearflaps,0,0,22.5498,3.34336,1.07951,16596.8,349.659,-0.0210736,0.172111,0.0612208,0.196549,0,0,0,0,""
15000,450,gearflaps,0,0,121.936,2.39726,1.31823,16165.2,459.569,-0.176104,1.85018,0.0475913,0.290152,0,0,0,0,""
