t,vs_fpm,vcas_kts,alt_ft,nz,alpha_deg,pstick,throttle
0,3233.18,212.408,5609.04,1.2082,6.93097,0,0.458093
0.0166667,3233.35,212.401,5609.94,1.20818,6.93132,0,0.458093
0.0333333,3233.5,212.394,5610.83,1.20817,6.93168,0,0.458093
0.05,3233.64,212.387,5611.73,1.20815,6.93204,0,0.458093
0.0666667,3233.77,212.38,5612.63,1.20814,6.9324,0,0.458093
0.0833333,3233.88,212.373,5613.53,1.20812,6.93277,0,0.458093
0.1,3233.99,212.366,5614.43,1.20811,6.93313,0,0.458093
0.116667,3234.08,212.359,5615.32,1.20809,6.9335,0,0.458093
0.133333,3234.16,212.353,5616.22,1.20808,6.93387,0,0.458093
0.15,3234.23,212.346,5617.12,1.20807,6.93424,0,0.458093
0.166667,3234.3,212.339,5618.02,1.20805,6.93461,0,0.458093
0.183333,3234.35,212.332,5618.92,1.20804,6.93498,0,0.458093
0.2,3234.4,212.325,5619.82,1.20803,6.93536,0,0.458093
0.216667,3234.44,212.318,5620.72,1.20801,6.93573,0,0.458093
0.233333,3234.48,212.311,5621.61,1.208,6.93611,0,0.458093
0.25,3234.51,212.304,5622.51,1.20799,6.93648,0,0.458093
0.266667,3234.53,212.297,5623.41,1.20798,6.93686,0,0.458093
0.283333,3234.55,212.29,5624.31,1.20796,6.93724,0,0.458093
0.3,3234.57,212.283,5625.21,1.20795,6.93762,0,0.458093
0.316667,3234.58,212.276,5626.11,1.20794,6.938,0,0.458093
0.333333,3234.59,212.269,5627,1.20793,6.93839,0,0.458093
0.35,3234.59,212.262,5627.9,1.20792,6.93877,0,0.458093
0.366667,3234.6,212.255,5628.8,1.20791,6.93916,0,0.458093
0.383333,3234.59,212.248,5629.7,1.2079,6.93954,0,0.458093
0.4,3234.59,212.241,5630.6,1.20788,6.93993,0,0.458093
0.416667,3234.58,212.234,5631.5,1.20787,6.94031,0,0.458093
0.433333,3234.57,212.227,5632.4,1.20786,6.9407,0,0.458093
0.45,3234.56,212.221,5633.29,1.20785,6.94109,0,0.458093
0.466667,3234.55,212.214,5634.19,1.20784,6.94148,0,0.458093
0.483333,3234.53,212.207,5635.09,1.20783,6.94187,0,0.458093
0.5,3234.51,212.2,5635.99,1.20782,6.94226,0,0.458093
0.516667,3234.49,212.193,5636.89,1.20781,6.94265,0,0.458093
0.533333,3234.47,212.186,5637.79,1.2078,6.94305,0,0.458093
0.55,3234.45,212.179,5638.68,1.20779,6.94344,0,0.458093
0.566667,3234.43,212.172,5639.58,1.20778,6.94383,0,0.458093
0.583333,3234.4,212.165,5640.48,1.20777,6.94423,0,0.458093
0.6,3234.38,212.158,5641.38,1.20776,6.94462,0,0.458093
0.616667,3234.35,212.151,5642.28,1.20775,6.94502,0,0.458093
0.633333,3234.32,212.144,5643.18,1.20774,6.94541,0,0.458093
0.65,3234.3,212.137,5644.08,1.20773,6.94581,0,0.458093
0.666667,3234.27,212.13,5644.97,1.20772,6.94621,0,0.458093
0.683333,3234.24,212.123,5645.87,1.20771,6.94661,0,0.458093
0.7,3234.21,212.116,5646.77,1.2077,6.947,0,0.458093
0.716667,3234.18,212.109,5647.67,1.20769,6.9474,0,0.458093
0.733333,3234.14,212.102,5648.57,1.20768,6.9478,0,0.458093
0.75,3234.11,212.095,5649.47,1.20767,6.9482,0,0.458093
0.766667,3234.08,212.088,5650.36,1.20766,6.9486,0,0.458093
0.783333,3234.05,212.081,5651.26,1.20765,6.949,0,0.458093
0.8,3234.01,212.074,5652.16,1.20764,6.9494,0,0.458093
0.816667,3233.98,212.067,5653.06,1.20763,6.9498,0,0.458093
0.833333,3233.95,212.06,5653.96,1.20763,6.95021,0,0.458093
0.85,3233.91,212.053,5654.86,1.20762,6.95061,0,0.458093
0.866667,3233.88,212.046,5655.75,1.20761,6.95101,0,0.458093
0.883333,3233.84,212.039,5656.65,1.2076,6.95141,0,0.458093
0.9,3233.81,212.032,5657.55,1.20759,6.95181,0,0.458093
0.916667,3233.77,212.025,5658.45,1.20758,6.95222,0,0.458093
0.933333,3233.74,212.018,5659.35,1.20757,6.95262,0,0.458093
0.95,3233.7,212.011,5660.25,1.20756,6.95303,0,0.458093
0.966667,3233.66,212.004,5661.14,1.20755,6.95343,0,0.458093
0.983333,3233.63,211.997,5662.04,1.20754,6.95383,0,0.458093
1,3233.59,211.99,5662.94,1.20754,6.95424,0,0.458093
1.01667,3233.56,211.983,5663.84,1.20753,6.95464,0,0.458093
1.03333,3233.52,211.976,5664.74,1.20752,6.95505,0,0.458093
1.05,3233.48,211.969,5665.63,1.20751,6.95546,0,0.458093
1.06667,3233.45,211.962,5666.53,1.2075,6.95586,0,0.458093
1.08333,3233.41,211.954,5667.43,1.20749,6.95627,0,0.458093
1.1,3233.38,211.947,5668.33,1.20748,6.95667,0,0.458093
1.11667,3233.34,211.94,5669.23,1.20747,6.95708,0,0.458093
1.13333,3233.3,211.933,5670.13,1.20747,6.95749,0,0.458093
1.15,3233.27,211.926,5671.02,1.20746,6.95789,0,0.458093
1.16667,3233.23,211.919,5671.92,1.20745,6.9583,0,0.458093
1.18333,3233.19,211.912,5672.82,1.20744,6.95871,0,0.458093
1.2,3233.16,211.905,5673.72,1.20743,6.95911,0,0.458093
1.21667,3233.12,211.898,5674.62,1.20742,6.95952,0,0.458093
1.23333,3233.08,211.891,5675.51,1.20741,6.95993,0,0.458093
1.25,3233.05,211.884,5676.41,1.2074,6.96034,0,0.458093
1.26667,3233.01,211.877,5677.31,1.2074,6.96075,0,0.458093
1.28333,3232.98,211.87,5678.21,1.20739,6.96115,0,0.458093
1.3,3232.94,211.863,5679.11,1.20738,6.96156,0,0.458093
1.31667,3232.9,211.856,5680,1.20737,6.96197,0,0.458093
1.33333,3232.87,211.849,5680.9,1.20736,6.96238,0,0.458093
1.35,3232.83,211.842,5681.8,1.20735,6.96279,0,0.458093
1.36667,3232.8,211.835,5682.7,1.20734,6.9632,0,0.458093
1.38333,3232.76,211.828,5683.6,1.20733,6.9636,0,0.458093
1.4,3232.73,211.821,5684.49,1.20733,6.96401,0,0.458093
1.41667,3232.69,211.813,5685.39,1.20732,6.96442,0,0.458093
1.43333,3232.65,211.806,5686.29,1.20731,6.96483,0,0.458093
1.45,3232.62,211.799,5687.19,1.2073,6.96524,0,0.458093
1.46667,3232.58,211.792,5688.09,1.20729,6.96565,0,0.458093
1.48333,3232.55,211.785,5688.98,1.20728,6.96606,0,0.458093
1.5,3232.51,211.778,5689.88,1.20727,6.96647,0,0.458093
1.51667,3232.48,211.771,5690.78,1.20726,6.96688,0,0.458093
1.53333,3232.44,211.764,5691.68,1.20726,6.96729,0,0.458093
1.55,3232.41,211.757,5692.58,1.20725,6.9677,0,0.458093
1.56667,3232.38,211.75,5693.47,1.20724,6.96811,0,0.458093
1.58333,3232.34,211.743,5694.37,1.20723,6.96852,0,0.458093
1.6,3232.31,211.736,5695.27,1.20722,6.96892,0,0.458093
1.61667,3232.27,211.729,5696.17,1.20721,6.96933,0,0.458093
1.63333,3232.24,211.721,5697.07,1.2072,6.96974,0,0.458093
1.65,3232.2,211.714,5697.96,1.20719,6.97015,0,0.458093
1.66667,3232.17,211.707,5698.86,1.20718,6.97056,0,0.458093
1.68333,3232.14,211.7,5699.76,1.20717,6.97097,0,0.458093
1.7,3232.1,211.693,5700.66,1.20717,6.97138,0,0.458093
1.71667,3232.07,211.686,5701.55,1.20716,6.97179,0,0.458093
1.73333,3232.04,211.679,5702.45,1.20715,6.9722,0,0.458093
1.75,3232,211.672,5703.35,1.20714,6.97261,0,0.458093
1.76667,3231.97,211.665,5704.25,1.20713,6.97302,0,0.458093
1.78333,3231.94,211.658,5705.15,1.20712,6.97343,0,0.458093
1.8,3231.91,211.651,5706.04,1.20711,6.97384,0,0.458093
1.81667,3231.87,211.643,5706.94,1.2071,6.97425,0,0.458093
1.83333,3231.84,211.636,5707.84,1.20709,6.97466,0,0.458093
1.85,3231.81,211.629,5708.74,1.20708,6.97507,0,0.458093
1.86667,3231.78,211.622,5709.63,1.20707,6.97548,0,0.458093
1.88333,3231.74,211.615,5710.53,1.20707,6.97589,0,0.458093
1.9,3231.71,211.608,5711.43,1.20706,6.9763,0,0.458093
1.91667,3231.68,211.601,5712.33,1.20705,6.97671,0,0.458093
1.93333,3231.65,211.594,5713.23,1.20704,6.97712,0,0.458093
1.95,3231.62,211.587,5714.12,1.20703,6.97753,0,0.458093
1.96667,3231.59,211.579,5715.02,1.20702,6.97794,0,0.458093
1.98333,3231.55,211.572,5715.92,1.20701,6.97835,0,0.458093
2,3231.52,211.565,5716.82,1.207,6.97876,0,0.458093
2.01667,3231.49,211.558,5717.71,1.20699,6.97917,0,0.458093
2.03333,3231.46,211.551,5718.61,1.20698,6.97958,0,0.458093
2.05,3231.43,211.544,5719.51,1.20697,6.97999,0,0.458093
2.06667,3231.4,211.537,5720.41,1.20696,6.9804,0,0.458093
2.08333,3231.37,211.529,5721.3,1.20695,6.98081,0,0.458093
2.1,3231.34,211.522,5722.2,1.20694,6.98122,0,0.458093
2.11667,3231.31,211.515,5723.1,1.20693,6.98163,0,0.458093
2.13333,3231.28,211.508,5724,1.20692,6.98204,0,0.458093
2.15,3231.25,211.501,5724.89,1.20691,6.98245,0,0.458093
